Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Good Nature,Turnover,Rock,7.3,,Ian Cohen,Contributor,"Fri, 25 Aug 2017 05:00:00 GMT",/reviews/albums/turnover-good-nature/
Aytche,Joseph Shabason,Jazz,7.6,,Philip Sherburne,Contributing Editor,"Fri, 25 Aug 2017 05:00:00 GMT",/reviews/albums/joseph-shabason-aytche/
Black Ken,Lil B,Rap,8.5,Best new music,Meaghan Garvey,Contributor,"Thu, 24 Aug 2017 05:00:00 GMT",/reviews/albums/lil-b-black-ken/
Beast Epic,Iron & Wine,Folk/Country,7.5,,Philip Cosores,Contributor,"Thu, 24 Aug 2017 05:00:00 GMT",/reviews/albums/iron-and-wine-beast-epic/
So Numb,Sannhet,Metal,8.0,,Andy O'Connor,Contributor,"Thu, 24 Aug 2017 05:00:00 GMT",/reviews/albums/sannhet-so-numb/
Far From Over,Vijay Iyer Sextet,Jazz,7.7,,Seth Colter Walls,Contributor,"Thu, 24 Aug 2017 05:00:00 GMT",/reviews/albums/vijay-iyer-sextet-far-from-over/
Science Fiction,Brand New,Rock,8.3,Best new music,Ian Cohen,Contributor,"Wed, 23 Aug 2017 05:00:00 GMT",/reviews/albums/brand-new-science-fiction/
S/T,Rainer Maria,Rock,7.6,,Evan Rytlewski,Contributor,"Wed, 23 Aug 2017 05:00:00 GMT",/reviews/albums/rainer-maria-st/
Orc,Oh Sees,Rock,7.4,,Stuart Berman,Contributor,"Wed, 23 Aug 2017 05:00:00 GMT",/reviews/albums/oh-sees-orc/
Take Flight,Maya Jane Coles,Electronic,6.0,,Philip Sherburne,Contributing Editor,"Wed, 23 Aug 2017 05:00:00 GMT",/reviews/albums/maya-jane-coles-take-flight/
Alice Glass EP,Alice Glass,Electronic,6.8,,Sasha Geffen,Contributor,"Tue, 22 Aug 2017 05:00:00 GMT",/reviews/albums/alice-glass-alice-glass-ep/
Tropical Drums of Deutschland,Various Artists,,7.4,,Andy Beta,Contributor,"Tue, 22 Aug 2017 05:00:00 GMT",/reviews/albums/various-artists-tropical-drums-of-deutschland/
The Water We Drink,Khalil,Pop/R&B,7.2,,Louis Pattison,Contributor,"Tue, 22 Aug 2017 05:00:00 GMT",/reviews/albums/khalil-the-water-we-drink/
Ripe & Majestic,TOBACCO,Electronic,7.7,,Saby Reyes-Kulkarni,Contributor,"Tue, 22 Aug 2017 05:00:00 GMT",/reviews/albums/tobacco-ripe-and-majestic/
Still Striving,A$AP Ferg,Rap,6.1,,Matthew  Ismael Ruiz,Contributor,"Mon, 21 Aug 2017 05:00:00 GMT",/reviews/albums/adollarap-ferg-still-striving/
Time Well,Cloakroom,Rock,7.3,,Andy O'Connor,Contributor,"Mon, 21 Aug 2017 05:00:00 GMT",/reviews/albums/cloakroom-time-well/
